ANIO_DENUNCIA;ANIO_HECHO;CAPTURA;CONDENA;DELITO;DEPARTAMENTO;GRUPO_EDAD_VICTIMA;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;MUNICIPIO;RUPTURA;TOTAL_VICTIMAS;Rural;DENSIDAD_POBLACIONAL
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;7;0;2235750
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;SI;MEDELLÍN;NO;7;0;2455072
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;7;0;2235750
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;6;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;6;0;7497976
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;6;0;532851
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;JUVENTUD 18 - 28;NO;NO;IBAGUÉ;NO;6;0;532851
2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;6;0;7497976
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;6;0;2235750
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;SI;CALI;NO;6;0;2235750
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;6;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;5;0;7497976
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;5;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;5;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;5;0;7497976
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;5;0;2235750
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;5;0;7497976
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;SI;MEDELLÍN;NO;5;0;2455072
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;5;0;7497976
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;5;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;4;0;7497976
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;4;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;4;0;2235750
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;4;0;532851
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;NO;MEDELLÍN;NO;4;0;2455072
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;4;0;2235750
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;ADULTEZ 29 - 59;NO;SI;BARRANQUILLA;NO;4;0;1224588
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;SI;IBAGUÉ;NO;4;0;532851
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;4;0;2235750
2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;SI;MEDELLÍN;NO;4;0;2455072
2017;2017;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;YUMBO;SI;4;1;105178
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;SI;MEDELLÍN;NO;4;0;2455072
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2020;2020;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2020;2020;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;4;0;2235750
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;4;0;7497976
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;SI;CALI;NO;4;0;2235750
2021;2021;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;4;0;2235750
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;NO;CALI;NO;3;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;3;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;JUVENTUD 18 - 28;NO;NO;IBAGUÉ;NO;3;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;3;0;2235750
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;3;0;2235750
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;3;0;2235750
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;3;0;2235750
2021;2021;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;3;0;7497976
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ADULTEZ 29 - 59;NO;NO;SANTA MARTA;NO;3;0;509999
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;3;0;2235750
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;MEDELLÍN;NO;3;0;2455072
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2022;2022;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2023;2023;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;3;0;2235750
2016;2016;NO;SI;FEMINICIDIO ART. 104A C.P.;Boyaca;PRIMERA INFANCIA 0 - 5;SI;SI;SOGAMOSO;NO;3;1;124815
2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;DAGUA;NO;3;1;47577
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;SI;MEDELLÍN;NO;3;0;2455072
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;NO;SI;CARTAGENA;NO;3;0;987889
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;SI;FLORIDABLANCA;NO;3;1;296324
2018;2018;SI;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;NO;SI;CARTAGENA;NO;3;0;987889
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;3;0;2235750
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;SI;CALI;NO;3;0;2235750
2020;2020;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;SI;MEDELLÍN;NO;3;0;2455072
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Santander;JUVENTUD 18 - 28;SI;SI;BUCARAMANGA;NO;3;0;588404
2021;2021;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2021;2021;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;SI;MEDELLÍN;NO;3;0;2455072
2021;2021;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;SI;BOGOTÁ, D.C.;NO;3;0;7497976
2014;2014;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2015;2015;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;2;0;2235750
2015;2015;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;JUVENTUD 18 - 28;NO;SI;VILLAVICENCIO;NO;2;0;535328
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;2;0;7497976
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;ADULTEZ 29 - 59;SI;NO;QUIBDO;NO;2;0;127679
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ADULTEZ 29 - 59;SI;NO;SANTA MARTA;NO;2;0;509999
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;JUVENTUD 18 - 28;SI;NO;SANTA MARTA;NO;2;0;509999
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;NO;CALI;NO;2;0;2235750
2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ADULTEZ 29 - 59;SI;SI;TOPAIPÍ;NO;2;1;4080
2016;2016;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;2;0;2235750
2016;2016;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;ADULTEZ 29 - 59;NO;NO;QUIBDO;SI;2;0;127679
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;2;0;7497976
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;NO;NO;CARTAGENA;NO;2;0;987889
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;NO;CALI;NO;2;0;2235750
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;2;0;2235750
2017;2017;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;2;0;2235750
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;2;0;2235750
2017;2017;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;SI;CALI;NO;2;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;NO;MEDELLÍN;NO;2;0;2455072
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;NO;LA ESTRELLA;NO;2;1;69149
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;SI;NO;BUENOS AIRES;NO;2;1;30778
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;BUENAVENTURA;NO;2;1;309358
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;2;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;2;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;NO;NO;SANTANDER DE QUILICHAO;NO;2;1;108564
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ADULTEZ 29 - 59;NO;NO;SANTA MARTA;NO;2;0;509999
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Risaralda;ADULTEZ 29 - 59;SI;NO;PEREIRA;NO;2;0;469876
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADOLESCENTE 14 - 17;NO;NO;IBAGUÉ;NO;2;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADOLESCENTE 14 - 17;NO;NO;CALI;NO;2;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;2;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;2;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Putumayo;JUVENTUD 18 - 28;NO;NO;PUERTO ASÍS;NO;2;1;62928
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;NO;MEDELLÍN;NO;2;0;2455072
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;SI;NO;CARTAGENA;NO;2;0;987889
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ADULTEZ 29 - 59;NO;NO;VALLEDUPAR;NO;2;0;501742
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;JUVENTUD 18 - 28;NO;NO;IBAGUÉ;NO;2;0;532851
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADOLESCENTE 14 - 17;NO;NO;CALI;NO;2;0;2235750
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;2;0;2235750
2020;2020;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADOLESCENTE 14 - 17;NO;SI;CALI;NO;2;0;2235750
2020;2020;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;SI;CALI;NO;2;0;2235750
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;NO;APARTADÓ;NO;2;1;116788
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;MEDELLÍN;NO;2;0;2455072
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;JUVENTUD 18 - 28;NO;NO;VALLEDUPAR;NO;2;0;501742
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ADULTEZ 29 - 59;SI;NO;TIBÚ;NO;2;1;51130
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Norte de Santander;JUVENTUD 18 - 28;NO;NO;TIBÚ;NO;2;1;51130
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Risaralda;ADULTEZ 29 - 59;SI;NO;PEREIRA;NO;2;0;469876
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;NO;FLORIDABLANCA;NO;2;1;296324
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADOLESCENTE 14 - 17;NO;NO;CALI;NO;2;0;2235750
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;PALMIRA;NO;2;1;350812
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2021;2021;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;2;0;7497976
2021;2021;SI;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;NO;SI;POPAYÁN;NO;2;0;320089
2021;2021;SI;NO;FEMINICIDIO ART. 104A C.P.;Cesar;JUVENTUD 18 - 28;NO;SI;VALLEDUPAR;NO;2;0;501742
2021;2021;SI;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;SI;CALI;NO;2;0;2235750
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;NO;MEDELLÍN;NO;2;0;2455072
2022;2022;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;NO;MEDELLÍN;NO;2;0;2455072
